Pays;Ville;Etablissement;Cote;Lien IIIF
France;Langres;Bibliothèque municipale;0004 (0030);https://bvmm.irht.cnrs.fr/iiif/4940/manifest
France;Langres;Bibliothèque municipale;0273;https://bvmm.irht.cnrs.fr/iiif/35/manifest
France;Langres;Bibliothèque municipale;0360;https://bvmm.irht.cnrs.fr/iiif/36/manifest
France;Le Mans;Bibliothèque municipale;0127;https://bvmm.irht.cnrs.fr/iiif/2937/manifest
France;Le Mans;Bibliothèque municipale;0186;https://bvmm.irht.cnrs.fr/iiif/2948/manifest
France;Le Mans;Bibliothèque municipale;0371;https://bvmm.irht.cnrs.fr/iiif/3121/manifest
France;Le Mans;Bibliothèque municipale;0519;https://bvmm.irht.cnrs.fr/iiif/3284/manifest
France;Le Mans;Bibliothèque municipale;0688;https://bvmm.irht.cnrs.fr/iiif/3287/manifest
France;Le Mans;Bibliothèque municipale;0700;https://bvmm.irht.cnrs.fr/iiif/3289/manifest
France;Le Mans;Bibliothèque municipale;inc. R.I.A. 063;https://bvmm.irht.cnrs.fr/iiif/3320/manifest
France;Mâcon;Bibliothèque municipale;101;https://bvmm.irht.cnrs.fr/iiif/18815/manifest
France;Melun;Bibliothèque municipale;0010;https://bvmm.irht.cnrs.fr/iiif/4537/manifest
France;Melun;Musée Municipal;inv. 967.47;https://bvmm.irht.cnrs.fr/iiif/4531/manifest
France;Metz;Bibliothèque municipale;0570;https://bvmm.irht.cnrs.fr/iiif/24280/manifest
France;Metz;Bibliothèque municipale;0576;https://bvmm.irht.cnrs.fr/iiif/23148/manifest
France;Metz;Bibliothèque municipale;0598;https://bvmm.irht.cnrs.fr/iiif/23193/manifest
France;Metz;Bibliothèque municipale;0600;https://bvmm.irht.cnrs.fr/iiif/23198/manifest
France;Metz;Bibliothèque municipale;1484;https://bvmm.irht.cnrs.fr/iiif/23251/manifest
France;Metz;Bibliothèque municipale;1581;https://bvmm.irht.cnrs.fr/iiif/23380/manifest
France;Metz;Bibliothèque municipale;1588;https://bvmm.irht.cnrs.fr/iiif/23851/manifest
France;Metz;Bibliothèque municipale;1598;https://bvmm.irht.cnrs.fr/iiif/23852/manifest
France;Nantes;Bibliothèque municipale;0019 (lat. 0019);https://bvmm.irht.cnrs.fr/iiif/4204/manifest
France;Nantes;Bibliothèque municipale;0020 (lat. 0020);https://bvmm.irht.cnrs.fr/iiif/4203/manifest
France;Nantes;Bibliothèque municipale;0021 (lat. 0021);https://bvmm.irht.cnrs.fr/iiif/4202/manifest
France;Nantes;Bibliothèque municipale;0022 (lat. 0022);https://bvmm.irht.cnrs.fr/iiif/4201/manifest
France;Nantes;Bibliothèque municipale;3072;https://bvmm.irht.cnrs.fr/iiif/4297/manifest
France;Nantes;Bibliothèque municipale;3340;https://bvmm.irht.cnrs.fr/iiif/4408/manifest
France;Nantes;Musée Dobrée;0009;https://bvmm.irht.cnrs.fr/iiif/4318/manifest
France;Nantes;Musée Dobrée;0012, t. I;https://bvmm.irht.cnrs.fr/iiif/4321/manifest
France;Nantes;Musée Dobrée;0012, t. II;https://bvmm.irht.cnrs.fr/iiif/4322/manifest
France;Nantes;Musée Dobrée;0013;https://bvmm.irht.cnrs.fr/iiif/4323/manifest
France;Nantes;Musée Dobrée;0030;https://bvmm.irht.cnrs.fr/iiif/4331/manifest
France;Nantes;Musée Dobrée;0031;https://bvmm.irht.cnrs.fr/iiif/4332/manifest
France;Nantes;Musée Dobrée;0033;https://bvmm.irht.cnrs.fr/iiif/4334/manifest
France;Nantes;Musée Dobrée;0034;https://bvmm.irht.cnrs.fr/iiif/4335/manifest
France;Nantes;Musée Dobrée;2005.1.1;https://bvmm.irht.cnrs.fr/iiif/4337/manifest
France;Nantes;Musée Dobrée;impr. 0690.2776;https://bvmm.irht.cnrs.fr/iiif/4308/manifest
France;Nantes;Musée Dobrée;0027;https://bvmm.irht.cnrs.fr/iiif/4328/manifest
France;Nantes;Musée Dobrée;0028;https://bvmm.irht.cnrs.fr/iiif/4329/manifest
France;Nîmes;Bibliothèque municipale;006;https://bvmm.irht.cnrs.fr/iiif/5294/manifest
France;Nîmes;Bibliothèque municipale;008;https://bvmm.irht.cnrs.fr/iiif/5295/manifest
France;Nîmes;Bibliothèque municipale;009;https://bvmm.irht.cnrs.fr/iiif/5296/manifest
France;Paris;Bibliothèque de l'Arsenal;0288;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550008104/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0290;https://gallica.bnf.fr/iiif/ark:/12148/btv1b525011578/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0291;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550103847/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0424;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550131995/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0426;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013078h/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0434;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55011051v/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0439;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550130827/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0557;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55006457g/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0562;https://gallica.bnf.fr/iiif/ark:/12148/btv1b52505805b/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0565;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550094367/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0569;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55009437p/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0575 réserve;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55009271w/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0575 Bis réserve;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55009272b/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0615;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010392r/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0616;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55012863j/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0634;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010382b/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0637;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010383s/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0638;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55008559f/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0639;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55008564m/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0640;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550057309/manifest.json
France;Paris;Bibliothèque de l'Arsenal;0641;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005731r/manifest.json
