"Manuscript H-ID","repository_key (Organisation) H-ID","Short name / acronym",Country(ies),idno,"iiif manifest",Digitization-type
1225,739521,"Angers, Bibliothèque municipale",France,"0129 (0121)",https://api.irht.cnrs.fr/ark:/63955/fd1albaqhuqb/manifest.json,
1226,739521,"Angers, Bibliothèque municipale",France,"0130 (0122)",https://api.irht.cnrs.fr/ark:/63955/f5xedb1ak5h1/manifest.json,
1227,739521,"Angers, Bibliothèque municipale",France,"0131 (0123)",https://api.irht.cnrs.fr/ark:/63955/f901kx41vx7z/manifest.json,
1228,739521,"Angers, Bibliothèque municipale",France,"0132 (0124)",https://api.irht.cnrs.fr/ark:/63955/fsmeqwtphaqf/manifest.json,
1273,739528,"Arras, Bibliothèque municipale",France,"0782 (1023)",https://bvmm.irht.cnrs.fr/iiif/34421/manifest,
1276,739528,"Arras, Bibliothèque municipale",France,"0786 (imprimé)",https://api.irht.cnrs.fr/ark:/63955/fwxxkb50yi4m/manifest.json,
1277,739528,"Arras, Bibliothèque municipale",France,"0787 (0521)",https://bvmm.irht.cnrs.fr/iiif/35425/manifest,
1278,739528,"Arras, Bibliothèque municipale",France,"0789 (0515)",https://bvmm.irht.cnrs.fr/iiif/35429/manifest,
1280,739528,"Arras, Bibliothèque municipale",France,"0791 (0536)",https://bvmm.irht.cnrs.fr/iiif/35430/manifest,
1281,739528,"Arras, Bibliothèque municipale",France,"0792 (0533)",https://bvmm.irht.cnrs.fr/iiif/35431/manifest,
1282,739528,"Arras, Bibliothèque municipale",France,"0793 (0540)",https://bvmm.irht.cnrs.fr/iiif/35446/manifest,
1284,739528,"Arras, Bibliothèque municipale",France,"0795 (0545)",https://bvmm.irht.cnrs.fr/iiif/35447/manifest,
1287,739528,"Arras, Bibliothèque municipale",France,"0892 (0767)",https://bvmm.irht.cnrs.fr/iiif/35471/manifest,
1291,739528,"Arras, Bibliothèque municipale",France,"0904 (0231)",https://bvmm.irht.cnrs.fr/iiif/34460/manifest,
1292,739528,"Arras, Bibliothèque municipale",France,"0906 (0240)",https://bvmm.irht.cnrs.fr/iiif/34483/manifest,
1293,739528,"Arras, Bibliothèque municipale",France,"0915 (0249)",https://bvmm.irht.cnrs.fr/iiif/34462/manifest,
1307,739529,"Arras, Musée diocésain",France,601,https://bvmm.irht.cnrs.fr/iiif/35127/manifest,
1363,739540,"Bailleul, Musée Benoît de Puydt",France,"Inv. 992.7.1",https://api.irht.cnrs.fr/ark:/63955/fvn9ir4r2b50/manifest.json,
1364,739540,"Bailleul, Musée Benoît de Puydt",France,"Inv. 992.7.3",https://api.irht.cnrs.fr/ark:/63955/foyi2ng1rcnk/manifest.json,
1397,739547,"Beaune, Archives hospitalières",France,"non coté [9]",https://bvmm.irht.cnrs.fr/iiif/23188/manifest,
1408,739551,"Besançon, Archives départementales du Doubs",France,MS4,https://api.irht.cnrs.fr/ark:/63955/fx5fcbrrd91n/manifest.json,
1414,739552,"Besançon, Bibliothèque municipale",France,125,https://api.irht.cnrs.fr/ark:/63955/fw69vriwss0q/manifest.json,
1417,739552,"Besançon, Bibliothèque municipale",France,136,https://api.irht.cnrs.fr/ark:/63955/fk19qd9ya3m1/manifest.json,
1421,739552,"Besançon, Bibliothèque municipale",France,144,https://api.irht.cnrs.fr/ark:/63955/fv2stajibrle/manifest.json,
1423,739552,"Besançon, Bibliothèque municipale",France,147,https://api.irht.cnrs.fr/ark:/63955/ffetzmpt57r9/manifest.json,
1426,739552,"Besançon, Bibliothèque municipale",France,151,https://api.irht.cnrs.fr/ark:/63955/f5z0k3m4y6da/manifest.json,
1449,739558,"Bordeaux, Bibliothèque municipale",France,92,https://bvmm.irht.cnrs.fr/iiif/3900/manifest,"double page"
1450,739558,"Bordeaux, Bibliothèque municipale",France,93,https://bvmm.irht.cnrs.fr/iiif/3899/manifest,"double page"
1452,739558,"Bordeaux, Bibliothèque municipale",France,95,https://bvmm.irht.cnrs.fr/iiif/3897/manifest,"double page"
1478,739564,"Brest, Bibliothèque municipale",France,1,https://api.irht.cnrs.fr/ark:/63955/f56tdegsebif/manifest.json,
1493,739569,"Caen, Musée des Beaux-Arts",France,FMM.240,https://api.irht.cnrs.fr/ark:/63955/fal36xrgmew4/manifest.json,
1500,739571,"Cambrai, Archives diocésaines",France,"ms. non côté [1]",https://api.irht.cnrs.fr/ark:/63955/fbmmpiwpsviu/manifest.json,
1568,739579,"Chambéry, Bibliothèque municipale",France,1,https://bvmm.irht.cnrs.fr/iiif/34187/manifest,"double page"
1569,739579,"Chambéry, Bibliothèque municipale",France,3,https://bvmm.irht.cnrs.fr/iiif/34189/manifest,"double page"
1570,739580,"Chambéry, Musée savoisien",France,"inv. 977-1-1",https://bvmm.irht.cnrs.fr/iiif/35396/manifest,
1571,739580,"Chambéry, Musée savoisien",France,"inv. D. 241",https://bvmm.irht.cnrs.fr/iiif/35397/manifest,
1577,739581,"Chantilly, Bibliothèque et archives du musée Condé",France,"0064 (1671)",https://api.irht.cnrs.fr/ark:/63955/f710atcmknze/manifest.json,
1584,739581,"Chantilly, Bibliothèque et archives du musée Condé",France,"0072 (1119)",https://api.irht.cnrs.fr/ark:/63955/fkfag1fua19c/manifest.json,
1586,739581,"Chantilly, Bibliothèque et archives du musée Condé",France,"0074 (1088)",https://api.irht.cnrs.fr/ark:/63955/fp139oc9m6k9/manifest.json,
1587,739581,"Chantilly, Bibliothèque et archives du musée Condé",France,"0075 (1140)",https://api.irht.cnrs.fr/ark:/63955/frdw7702qowd/manifest.json,
1588,739581,"Chantilly, Bibliothèque et archives du musée Condé",France,"0076 (1362)",https://api.irht.cnrs.fr/ark:/63955/flv2davjkwc7/manifest.json,
1626,739584,"Chartres, Bibliothèque municipale",France,1720,https://api.irht.cnrs.fr/ark:/63955/fe5gi07zwl88/manifest.json,
1653,739590,"Cherbourg, Bibliothèque municipale",France,5,https://api.irht.cnrs.fr/ark:/63955/fq1m6hnks59z/manifest.json,
1679,739594,"Colmar, Bibliothèque municipale",France,"0350 (713)",https://api.irht.cnrs.fr/ark:/63955/f6ofbe3u19od/manifest.json,
1742,739604,"Dreux, Musée Marcel Dessal",France,"non coté 03",https://api.irht.cnrs.fr/ark:/63955/fsfgik8tb489/manifest.json,
1820,739620,"Le Mans, Bibliothèque municipale",France,129,https://api.irht.cnrs.fr/ark:/63955/fjmkbaqk4cz9/manifest.json,
1821,739620,"Le Mans, Bibliothèque municipale",France,131,https://api.irht.cnrs.fr/ark:/63955/fxx0jovib10p/manifest.json,
1822,739620,"Le Mans, Bibliothèque municipale",France,135,https://api.irht.cnrs.fr/ark:/63955/foa0nk35zrrx/manifest.json,
1823,739620,"Le Mans, Bibliothèque municipale",France,138,https://api.irht.cnrs.fr/ark:/63955/fmjv3b5qu52f/manifest.json,
1824,739620,"Le Mans, Bibliothèque municipale",France,139,https://api.irht.cnrs.fr/ark:/63955/fa9pi39155po/manifest.json,
1825,739620,"Le Mans, Bibliothèque municipale",France,140,https://api.irht.cnrs.fr/ark:/63955/favsmsyl80ui/manifest.json,
1826,739620,"Le Mans, Bibliothèque municipale",France,145,https://api.irht.cnrs.fr/ark:/63955/fb3a9l8yb7hb/manifest.json,
1827,739620,"Le Mans, Bibliothèque municipale",France,150,https://api.irht.cnrs.fr/ark:/63955/fhy18mv4cts3/manifest.json,
1828,739620,"Le Mans, Bibliothèque municipale",France,159,https://api.irht.cnrs.fr/ark:/63955/fzusdqfk0nlk/manifest.json,
1830,739620,"Le Mans, Bibliothèque municipale",France,363,https://api.irht.cnrs.fr/ark:/63955/f4vei6zsu99q/manifest.json,
1965,739647,"Meaux, Bibliothèque municipale",France,134,https://api.irht.cnrs.fr/ark:/63955/fuue6jk90hda/manifest.json,
1991,739653,"Montbrison, Musée d'Allard",France,"ms. A",https://bvmm.irht.cnrs.fr/iiif/34936/manifest,
1992,739653,"Montbrison, Musée d'Allard",France,"ms. B",https://bvmm.irht.cnrs.fr/iiif/34951/manifest,
1993,739653,"Montbrison, Musée d'Allard",France,"ms. C",https://bvmm.irht.cnrs.fr/iiif/34952/manifest,
1994,739653,"Montbrison, Musée d'Allard",France,"ms. D",https://bvmm.irht.cnrs.fr/iiif/34953/manifest,
