Country;City;Institution;ID;URL
FR;Paris;Bibliothèque de l'Arsenal;637;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010383s/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;638;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55008559f/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;639;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55008564m/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;640;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550057309/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;641;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005731r/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;644;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010380f/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;645;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010116g/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;648;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010381w/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;650;https://gallica.bnf.fr/iiif/ark:/12148/btv1b8458140s/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;651;https://gallica.bnf.fr/iiif/ark:/12148/btv1b52502553b/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;652;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550058850/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;655;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550085652/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;656;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550092764/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;1174;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55010385p/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;1175;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55008174h/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;1185;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55007801k/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;1188;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550098895/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;1191;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550101151/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;1194;https://gallica.bnf.fr/iiif/ark:/12148/btv1b550103864/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;2162;https://gallica.bnf.fr/iiif/ark:/12148/btv1b525068833/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;0575 Bis réserve;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55009272b/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;0575 réserve;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55009271w/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;0647 réserve;https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005889s/manifest.json
FR;Paris;Bibliothèque de l'Arsenal;0654 réserve;https://gallica.bnf.fr/iiif/ark:/12148/btv1b8596871g/manifest.json
FR;Paris;Bibliothèque du Saulchoir;Rés. Ms. C 01;https://bvmm.irht.cnrs.fr/iiif/22140/manifest
FR;Paris;Bibliothèque du Saulchoir;Rés. Ms. C 09;https://bvmm.irht.cnrs.fr/iiif/22139/manifest
FR;Paris;Bibliothèque du Saulchoir;Rés. Ms. C 10;https://bvmm.irht.cnrs.fr/iiif/22141/manifest
FR;Paris;Bibliothèque Historique de la Ville de Paris;impr. 8-RES-0105;https://bvmm.irht.cnrs.fr/iiif/5725/manifest
FR;Paris;Bibliothèque Historique de la Ville de Paris;impr. 8-RES-0106;https://bvmm.irht.cnrs.fr/iiif/5726/manifest
FR;Paris;Bibliothèque Historique de la Ville de Paris;impr. 8-RES-0107;https://bvmm.irht.cnrs.fr/iiif/5727/manifest
FR;Paris;Bibliothèque nationale de France;fr. 01874;https://gallica.bnf.fr/iiif/ark:/12148/btv1b9007441s/manifest.json
FR;Paris;Bibliothèque nationale de France;fr. 02224;https://gallica.bnf.fr/iiif/ark:/12148/btv1b85397092/manifest.json
FR;Paris;Bibliothèque nationale de France;fr. 05661;https://gallica.bnf.fr/iiif/ark:/12148/btv1b9059265h/manifest.json
