Country;Settlement;Repository;Shelfmark;manifest;IMPR
FR;Angers;Musée des Beaux-Arts;2003.1.787;https://bvmm.irht.cnrs.fr/iiif/1398/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.788;https://bvmm.irht.cnrs.fr/iiif/1390/manifest;
FR;Angers;Musée des Beaux-Arts;2003.1.789;https://bvmm.irht.cnrs.fr/iiif/1389/manifest;
FR;Angers;Musée des Beaux-Arts;impr. 2003.1.078;https://bvmm.irht.cnrs.fr/iiif/1372/manifest;Impr
FR;Argentan;Bibliothèque municipale;0027;https://bvmm.irht.cnrs.fr/iiif/4257/manifest;
FR;Arras;Bibliothèque municipale;0366 (0212);https://bvmm.irht.cnrs.fr/iiif/23957/manifest;
FR;Arras;Bibliothèque municipale;0377 (0783);https://bvmm.irht.cnrs.fr/iiif/24316/manifest;
FR;Arras;Bibliothèque municipale;0384 (0232);https://bvmm.irht.cnrs.fr/iiif/23962/manifest;
FR;Arras;Bibliothèque municipale;0779 (0778);https://bvmm.irht.cnrs.fr/iiif/24217/manifest;
FR;Arras;Bibliothèque municipale;0898 (0226);https://bvmm.irht.cnrs.fr/iiif/23976/manifest;
FR;Arras;Bibliothèque municipale;0900 (0235);https://bvmm.irht.cnrs.fr/iiif/23977/manifest;
FR;Arras;Bibliothèque municipale;1051 (0233);https://bvmm.irht.cnrs.fr/iiif/24000/manifest;
FR;Arras;Bibliothèque municipale;1135 (0219);https://bvmm.irht.cnrs.fr/iiif/24001/manifest;
FR;Auch;Bibliothèque municipale;impr. 1064;https://bvmm.irht.cnrs.fr/iiif/1188/manifest;Impr
FR;Autun;Bibliothèque de la Société Eduenne;Album Bulliot, n° 05;https://bvmm.irht.cnrs.fr/iiif/22886/manifest;
FR;Autun;Bibliothèque de la Société Eduenne;Album Bulliot, n° 31;https://bvmm.irht.cnrs.fr/iiif/22909/manifest;
FR;Autun;Bibliothèque de la Société Eduenne;M 004;https://bvmm.irht.cnrs.fr/iiif/22834/manifest;
FR;Autun;Bibliothèque municipale;269;https://bvmm.irht.cnrs.fr/iiif/22734/manifest;
FR;Autun;Bibliothèque municipale;impr. SR 347;https://bvmm.irht.cnrs.fr/iiif/22744/manifest;Impr
FR;Autun;Bibliothèque municipale;Legs Chevalier n° 15;https://bvmm.irht.cnrs.fr/iiif/12718/manifest;
FR;Autun;Bibliothèque municipale;S 119 (099 A);https://bvmm.irht.cnrs.fr/iiif/22185/manifest;
FR;Autun;Bibliothèque municipale;S 190;https://bvmm.irht.cnrs.fr/iiif/22758/manifest;
FR;Autun;Bibliothèque municipale;S 191;https://bvmm.irht.cnrs.fr/iiif/22759/manifest;
FR;Autun;Bibliothèque municipale;S 192;https://bvmm.irht.cnrs.fr/iiif/22760/manifest;
FR;Autun;Bibliothèque municipale;S 196 (2);https://bvmm.irht.cnrs.fr/iiif/22772/manifest;
FR;Autun;Musée Rolin;SE 207;https://bvmm.irht.cnrs.fr/iiif/22993/manifest;
FR;Auxerre;Trésor de la cathédrale;n°010;https://bvmm.irht.cnrs.fr/iiif/24141/manifest;
FR;Auxerre;Trésor de la cathédrale;n°011;https://bvmm.irht.cnrs.fr/iiif/24147/manifest;
FR;Auxerre;Trésor de la cathédrale;n°012;https://bvmm.irht.cnrs.fr/iiif/24142/manifest;
FR;Auxerre;Trésor de la cathédrale;n°014;https://bvmm.irht.cnrs.fr/iiif/24144/manifest;
FR;Auxerre;Trésor de la cathédrale;n°015;https://bvmm.irht.cnrs.fr/iiif/24145/manifest;
FR;Auxerre;Trésor de la cathédrale;n°016;https://bvmm.irht.cnrs.fr/iiif/24153/manifest;
FR;Auxerre;Trésor de la cathédrale;n°017;https://bvmm.irht.cnrs.fr/iiif/24154/manifest;
FR;Auxerre;Trésor de la cathédrale;n°018;https://bvmm.irht.cnrs.fr/iiif/24155/manifest;
FR;Auxerre;Trésor de la cathédrale;n°019;https://bvmm.irht.cnrs.fr/iiif/24156/manifest;
FR;Auxerre;Trésor de la cathédrale;n°020;https://bvmm.irht.cnrs.fr/iiif/24148/manifest;
FR;Avranches;Bibliothèque municipale;FP ms. 0001;https://bvmm.irht.cnrs.fr/iiif/4387/manifest;
FR;Avranches;Bibliothèque municipale;FP ms. 0002;https://bvmm.irht.cnrs.fr/iiif/4385/manifest;
FR;Avranches;Bibliothèque municipale;FP ms. 0003;https://bvmm.irht.cnrs.fr/iiif/4386/manifest;
FR;Avranches;Bibliothèque municipale;inv. 094.1.1;https://bvmm.irht.cnrs.fr/iiif/17953/manifest;
FR;Bayeux;Bibliothèque du chapitre;0080;https://bvmm.irht.cnrs.fr/iiif/3468/manifest;
FR;Beaune;Archives hospitalières;impr. Layette 123, 07;https://bvmm.irht.cnrs.fr/iiif/23169/manifest;Impr
FR;Beaune;Archives hospitalières;impr. Layette 123, 08;https://bvmm.irht.cnrs.fr/iiif/23173/manifest;Impr
FR;Beaune;Archives hospitalières;Layette 122, 03;https://bvmm.irht.cnrs.fr/iiif/23191/manifest;
