"from","to","weight"
"Aix-en-Provence","Chezal-Benoît O.S.B.",39
"Aix-en-Provence","Clermont",52
"Aix-en-Provence","Cluny O.S.B.",30
"Aix-en-Provence","Compiègne Saint-Corneille O.S.B.",30
"Aix-en-Provence","Coutances",18
"Aix-en-Provence","Dax",44
"Aix-en-Provence","Die",32
"Aix-en-Provence","Dijon Saint-Bénigne O.S.B.",5
"Aix-en-Provence","Dijon Saint-Etienne",21
"Aix-en-Provence","Dol",23
"Aix-en-Provence","Douai Saint-Amé",26
"Aix-en-Provence","Durham Saint Cuthbert O.S.B.",7
"Aix-en-Provence","Elne",50
"Aix-en-Provence","Embrun",67
"Aix-en-Provence","Essômes O.S.A.",15
"Aix-en-Provence","Esztergom",48
"Aix-en-Provence","Évreux",17
"Aix-en-Provence","Évreux Saint-Sauveur O.S.B.",12
"Aix-en-Provence","Faremoutiers Notre-Dame O.S.B.",34
"Aix-en-Provence","Fontevrault Notre-Dame O.S.B.",30
"Aix-en-Provence","Fréjus",88
"Aix-en-Provence","Genève",32
"Aix-en-Provence","Gerona",41
"Aix-en-Provence","Grandmont O.S.B.",26
"Aix-en-Provence","Grasse",90
"Aix-en-Provence","Grenoble",42
"Aix-en-Provence","Hasnon",43
"Aix-en-Provence","Hénin-Liétard Notre-Dame O.S.A.",30
"Aix-en-Provence","Hortulus animae",61
"Aix-en-Provence","Josaphat Notre-Dame O.S.B.",28
"Aix-en-Provence","Köln",59
"Aix-en-Provence","Konstanz",52
"Aix-en-Provence","La Croix-Saint-Leufroy O.S.B.",15
"Aix-en-Provence","La Riche Saint-Côme O.S.A.",19
"Aix-en-Provence","Lagrasse Notre-Dame O.S.B.",30
"Aix-en-Provence","Langres",27
"Aix-en-Provence","Laon",31
"Aix-en-Provence","Le Mans",33
"Aix-en-Provence","Le Puy-en-Velay",63
"Aix-en-Provence","Lérida",77
"Aix-en-Provence","Lérins O.S.B.",30
"Aix-en-Provence","Liège [1201 to 1300]",26
"Aix-en-Provence","Liège [1401 to 1500]",63
"Aix-en-Provence","Lille Saint-Pierre",31
"Aix-en-Provence","Limoges",33
"Aix-en-Provence","Limoges Saint-Martial O.S.B.",38
"Aix-en-Provence","Lisieux",23
"Aix-en-Provence","Loches",21
"Aix-en-Provence","Lund",60
"Aix-en-Provence","Lyon",31
"Aix-en-Provence","Lyre Notre-Dame O.S.B.",11
"Aix-en-Provence","Mâcon",26
"Aix-en-Provence","Maguelonne",92
"Aix-en-Provence","Mainz",60
"Aix-en-Provence","Marmoutier O.S.B.",23
"Aix-en-Provence","Marseille",57
"Aix-en-Provence","Marseille Saint-Victor O.S.B.",26
"Aix-en-Provence","Meaux",31
"Aix-en-Provence","Mende",85
"Aix-en-Provence","Metz",24
"Aix-en-Provence","Metz Saint-Arnould O.S.B.",27
"Aix-en-Provence","Mons Sainte-Waudru O.S.A.",36
"Aix-en-Provence","Mont Saint-Michel",26
"Aix-en-Provence","Montier-la-Celle O.S.B.",31
"Aix-en-Provence","Montiéramey O.S.B.",27
"Aix-en-Provence","Montmajour O.S.B.",38
"Aix-en-Provence","Mouzon Notre-Dame O.S.B.",38
"Aix-en-Provence","Nantes",29
"Aix-en-Provence","Narbonne",82
"Aix-en-Provence","Nevers",17
"Aix-en-Provence","Nivelles Sainte-Gertrude",13
"Aix-en-Provence","Noyon",28
"Aix-en-Provence","O.Cael.",16
"Aix-en-Provence","O.Camal.",34
"Aix-en-Provence","O.Carm.",39
"Aix-en-Provence","O.Cart.",34
"Aix-en-Provence","O.Cist.",38
"Aix-en-Provence","O.Hosp.",33
"Aix-en-Provence","O.P.",77
"Aix-en-Provence","O.Praem.",37
"Aix-en-Provence","O.S.B. Vall.",30
"Aix-en-Provence","O.T.",77
"Aix-en-Provence","Orléans",23
"Aix-en-Provence","Oulx",42
"Aix-en-Provence","Paris",11
"Aix-en-Provence","Paris Saint-Germain des Prés O.S.B.",30
"Aix-en-Provence","Paris Saint-Victor O.S.A.",31
"Aix-en-Provence","Paris Sainte-Geneviève O.S.A.",28
"Aix-en-Provence","Passau",20
"Aix-en-Provence","Plasencia",37
"Aix-en-Provence","Poitiers",30
"Aix-en-Provence","Poitiers Saint-Croix O.S.B.",30
