"from","to"
"2174","V_Roma"
"2175","V_Roma"
"2176","V_Paris"
"2176","D_Paris"
"2177","V_Langres"
"2178","V_Rouen"
"2179","V_O.Cist."
"2180","V_Paris"
"2181","V_Amiens"
"2182","V_O.Cael."
"2183","D_Roma"
"2185","V_Paris"
"2186","V_Roma"
"2187","V_Paris"
"2188","V_Angers"
"2189","V_Paris"
"2190","V_Paris"
"2191","V_Thérouanne"
"2192","V_Roma"
"2193","V_Bayeux"
"2194","V_Paris"
"2195","V_Roma"
"2196","V_Coutances"
"2197","V_Paris"
"2198","V_Paris"
"2199","V_O.P."
"2200","V_Bayeux"
"2201","V_Meaux"
"2202","V_Bourges"
"2203","V_Troyes"
"2204","V_Roma"
"2205","V_Orléans"
"2206","V_Chartres"
"2207","V_Roma"
"2208","V_Toul"
"2209","V_Paris"
"2210","V_Rouen"
"2211","V_Rennes"
"2212","V_Paris"
"2215","V_Vendôme"
"2215","D_Troyes"
"2216","V_Sarum"
"2217","V_Langres"
"2218","V_Paris"
"2219","V_Rouen"
"2220","V_Rennes"
"2221","V_Thérouanne"
"2221","D_Reims"
"2222","V_Roma"
"2235","V_Dol"
"2236","V_Paris"
"2237","D_O.Carm."
"2238","V_Roma"
"2239","V_Besançon"
"2240","V_Roma"
"2241","D_O.F.M."
"2242","V_O.Cael."
"2243","V_Windesheim O.S.A."
"2244","V_Le Puy-en-Velay"
"2245","V_Reims"
"2247","V_Paris"
"2248","V_Roma"
"2249","V_Roma"
"2250","V_Paris"
"2251","V_Roma"
"2252","V_Rouen"
"2253","V_Roma"
"2254","V_Roma"
"2256","D_O.S.Salv."
"2257","V_Roma"
"2258","V_Paris"
"2259","V_Chartres"
"2260","V_Rouen"
"2262","V_Rouen"
"2263","V_Tours"
"2264","V_Paris"
"2265","V_Roma"
"2266","V_Roma"
"2267","V_Paris"
"2268","V_Tours"
"2269","V_O.P."
"2270","V_Roma"
"2271","V_Paris"
"2272","V_Paris"
"2273","V_Paris"
"2274","V_Paris"
"2275","V_Paris"
"2276","V_Coutances"
"2276","D_Coutances"
"2277","V_Tours"
"2278","V_Rouen"
"2278","D_Rouen"
"2279","D_Laon"
"2280","V_Paris"
"2281","V_Gent"
"2282","V_Paris"
"2283","V_Paris"
"2284","V_Roma"
"2285","V_Roma"
"2285","D_Roma"
"2286","V_Metz"
"2289","V_Roma"
"2290","V_Roma"
"2291","V_Rouen"
"2292","V_Angers"
"2293","V_Paris"
"2294","V_Rennes"
"2295","V_Besançon"
"2296","V_Autun"
"2297","V_Rouen"
"2298","V_Quimper"
"2299","V_Roma"
"2299","D_Roma"
"2300","D_Roma"
"2301","V_Roma"
"2302","V_Roma"
"2303","V_Paris"
"2304","V_Coutances"
"2305","V_Paris"
"2306","V_Roma"
"2307","V_Roma"
"2308","V_Paris"
"2309","V_Paris"
"2310","V_Chartres"
"2311","V_Paris"
"2312","V_Troyes"
"2313","V_Roma"
"2314","V_Roma"
"2315","V_Roma"
"2316","V_Roma"
"2317","V_Roma"
"2319","V_Paris"
"2320","V_Paris"
"2321","V_Roma"
"2322","V_Paris"
"2324","V_Paris"
"2325","V_Roma"
"2325","D_Roma"
"2326","V_Roma"
"2327","V_Roma"
"2328","V_Reims"
"2328","D_Reims"
"2329","V_Rouen"
"2330","V_Rouen"
"2331","V_Paris"
"2331","D_Paris"
"2332","V_Paris"
"2333","V_Roma"
"2333","D_Roma"
"2334","V_Paris"
"2336","V_Paris"
"2337","D_Châlons-en-Champagne"
"2338","V_Paris"
"2342","V_Roma"
"2343","V_Roma"
"2355","D_Toul"
"2358","D_Paris"
"2359","D_Tournai"
"2360","V_Saint-Brieuc"
"2361","V_Rouen"
"2363","V_Limoges"
"2364","V_Limoges"
"2365","V_Limoges"
"2369","V_Paris"
"2369","D_Paris"
"2370","V_Poitiers"
"2372","V_Troyes"
"2372","D_Troyes"
"2373","V_Paris"
"2374","V_Montiéramey O.S.B."
"2375","V_Saint-Denis O.S.B."
"2376","V_Guînes, Saint-Léonard-de-Guînes O.S.B."
"2377","V_Liège"
"2378","V_Roma"
"2380","V_Paris"
"2383","V_Roma"
"2385","V_Paris"
"2385","D_Paris"
"2386","V_Nantes"
"2386","D_Nantes"
"2388","V_Paris"
"2388","D_Paris"
"2389","V_Paris"
"2389","D_Paris"
"2390","V_Rouen"
"2393","V_Roma"
"2394","V_Rouen"
"2394","D_Rouen"
