msItem H-ID,rec_Title,Parent entity (Manuscript) H-ID,Parent entity RecordTitle,Parent entity (Printed text) H-ID,Parent entity RecordTitle,Work H-ID,Work RecordTitle,use (Organisation) H-ID,use RecordTitle
200021,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Office of the dead | L1 | Section",155,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300019,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Calendar | L1 | Section",155,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10004,Amiens (Organisation)
100035,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Hours of the Virgin | L1 | Section",156,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200022,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Office of the dead | L1 | Section",156,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10215,Roma (Organisation)
300020,"MsItem of Bibliothèque du château du Prince de Ligne, s.n. : Calendar | L1 | Section",156,"Beloeil, Bibliothèque du château du Prince de Ligne, s.n. 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10277,Utrecht (Organisation)
100036,"MsItem of Openbare Bibliotheek Brugge (Biekorf), Ms. 333 : Hours of the Virgin | L1 | Section",168,"Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 333 
 - GBR, London, Sotheby's",,,75966,Hours of the Virgin | L1 | Section,,
200023,"MsItem of Openbare Bibliotheek Brugge (Biekorf), Ms. 333 : Office of the dead | L1 | Section",168,"Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 333 
 - GBR, London, Sotheby's",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300021,"MsItem of Openbare Bibliotheek Brugge (Biekorf), Ms. 333 : Calendar | L1 | Section",168,"Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 333 
 - GBR, London, Sotheby's",,,75963,Calendar | L1 | Section,10150,"Nederland, Sud (Organisation)"
100037,"MsItem of Bibliothèque royale de Belgique, 9484 : Hours of the Virgin",185,"Bruxelles, Bibliothèque royale de Belgique, 9484 
 - GBR, London, Sotheby's",,,75966,Hours of the Virgin | L1 | Section,10189,Paris (Organisation)
200024,"MsItem of Bibliothèque royale de Belgique, 9484 : Office of the dead",185,"Bruxelles, Bibliothèque royale de Belgique, 9484 
 - GBR, London, Sotheby's",,,75965,Office of the dead | L1 | Section,10189,Paris (Organisation)
300022,"MsItem of Bibliothèque royale de Belgique, 9484 : Calendar",185,"Bruxelles, Bibliothèque royale de Belgique, 9484 
 - GBR, London, Sotheby's",,,75963,Calendar | L1 | Section,10082|10189|10189,"France, Ouest (Organisation)|Paris (Organisation)|Paris (Organisation)"
100038,"MsItem of Bibliothèque royale de Belgique, 9785 : Hours of the Virgin",186,"Bruxelles, Bibliothèque royale de Belgique, 9785 
 - GBR, London, Sotheby's",,,75966,Hours of the Virgin | L1 | Section,10004,Amiens (Organisation)
200025,"MsItem of Bibliothèque royale de Belgique, 9785 : Office of the dead",186,"Bruxelles, Bibliothèque royale de Belgique, 9785 
 - GBR, London, Sotheby's",,,75965,Office of the dead | L1 | Section,10004,Amiens (Organisation)
300023,"MsItem of Bibliothèque royale de Belgique, 9785 : Calendar",186,"Bruxelles, Bibliothèque royale de Belgique, 9785 
 - GBR, London, Sotheby's",,,75963,Calendar | L1 | Section,10004,Amiens (Organisation)
100039,"MsItem of Bibliothèque royale de Belgique, 9798 : Hours of the Virgin",188,"Bruxelles, Bibliothèque royale de Belgique, 9798 
 - GBR, London, Sotheby's",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200026,"MsItem of Bibliothèque royale de Belgique, 9798 : Office of the dead",188,"Bruxelles, Bibliothèque royale de Belgique, 9798 
 - GBR, London, Sotheby's",,,75965,Office of the dead | L1 | Section,10215,Roma (Organisation)
300024,"MsItem of Bibliothèque royale de Belgique, 9798 : Calendar",188,"Bruxelles, Bibliothèque royale de Belgique, 9798 
 - GBR, London, Sotheby's",,,75963,Calendar | L1 | Section,10150,"Nederland, Sud (Organisation)"
100040,"MsItem of Bibliothèque royale de Belgique, 10392 : Hours of the Virgin",189,"Bruxelles, Bibliothèque royale de Belgique, 10392 
 - GBR, London, Sotheby's",,,75966,Hours of the Virgin | L1 | Section,,
200027,"MsItem of Bibliothèque royale de Belgique, 10392 : Office of the dead",189,"Bruxelles, Bibliothèque royale de Belgique, 10392 
 - GBR, London, Sotheby's",,,75965,Office of the dead | L1 | Section,,
300025,"MsItem of Bibliothèque royale de Belgique, 10392 : Calendar",189,"Bruxelles, Bibliothèque royale de Belgique, 10392 
 - GBR, London, Sotheby's",,,75963,Calendar | L1 | Section,,
100041,"MsItem of Bibliothèque royale de Belgique, 10528 : Hours of the Virgin",190,"Bruxelles, Bibliothèque royale de Belgique, 10528 
 - GBR, London, Sotheby's",,,75966,Hours of the Virgin | L1 | Section,10291|10277,Windesheim (Organisation)|Utrecht (Organisation)
200028,"MsItem of Bibliothèque royale de Belgique, 10528 : Office of the dead",190,"Bruxelles, Bibliothèque royale de Belgique, 10528 
 - GBR, London, Sotheby's",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300026,"MsItem of Bibliothèque royale de Belgique, 10528 : Calendar",190,"Bruxelles, Bibliothèque royale de Belgique, 10528 
 - GBR, London, Sotheby's",,,75963,Calendar | L1 | Section,10040|10150|10150,"Bruxelles (Organisation)|Nederland, Sud (Organisation)|Nederland, Sud (Organisation)"
100042,"MsItem of Bibliothèque royale de Belgique, 10532 : Hours of the Virgin",192,"Bruxelles, Bibliothèque royale de Belgique, 10532 
 - GBR, London, Sotheby's",,,75966,Hours of the Virgin | L1 | Section,10043,Cambrai (Organisation)
200029,"MsItem of Bibliothèque royale de Belgique, 10532 : Office of the dead",192,"Bruxelles, Bibliothèque royale de Belgique, 10532 
 - GBR, London, Sotheby's",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300027,"MsItem of Bibliothèque royale de Belgique, 10532 : Calendar",192,"Bruxelles, Bibliothèque royale de Belgique, 10532 
 - GBR, London, Sotheby's",,,75963,Calendar | L1 | Section,10080,"France, Nord (Organisation)"
100043,"MsItem of Bibliothèque royale de Belgique, 10767 : Hours of the Virgin",196,"Bruxelles, Bibliothèque royale de Belgique, 10767 
 - Collection J. M. Falkner (Defuncti)",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200030,"MsItem of Bibliothèque royale de Belgique, 10767 : Office of the dead",196,"Bruxelles, Bibliothèque royale de Belgique, 10767 
 - Collection J. M. Falkner (Defuncti)",,,75965,Office of the dead | L1 | Section,10215,Roma (Organisation)
300028,"MsItem of Bibliothèque royale de Belgique, 10767 : Calendar",196,"Bruxelles, Bibliothèque royale de Belgique, 10767 
 - Collection J. M. Falkner (Defuncti)",,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
100044,"MsItem of Bibliothèque royale de Belgique, 10770 : Hours of the Virgin",199,"Bruxelles, Bibliothèque royale de Belgique, 10770 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10250,Unknown (Organisation)
200031,"MsItem of Bibliothèque royale de Belgique, 10770 : Office of the dead",199,"Bruxelles, Bibliothèque royale de Belgique, 10770 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300029,"MsItem of Bibliothèque royale de Belgique, 10770 : Calendar",199,"Bruxelles, Bibliothèque royale de Belgique, 10770 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10043|10141|10141,"Cambrai (Organisation)|Mons, Sainte-Waudru O.S.A. (Organisation)|Mons, Sainte-Waudru O.S.A. (Organisation)"
100045,"MsItem of Bibliothèque royale de Belgique, 10772 : Hours of the Virgin",200,"Bruxelles, Bibliothèque royale de Belgique, 10772 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10041,"Bruxelles, Sainte-Gudule O.S.A. (Organisation)"
200032,"MsItem of Bibliothèque royale de Belgique, 10772 : Office of the dead",200,"Bruxelles, Bibliothèque royale de Belgique, 10772 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300030,"MsItem of Bibliothèque royale de Belgique, 10772 : Calendar",200,"Bruxelles, Bibliothèque royale de Belgique, 10772 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10150,"Nederland, Sud (Organisation)"
100046,"MsItem of Bibliothèque royale de Belgique, 10774 : Hours of the Virgin",201,"Bruxelles, Bibliothèque royale de Belgique, 10774 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10004,Amiens (Organisation)
200033,"MsItem of Bibliothèque royale de Belgique, 10774 : Office of the dead",201,"Bruxelles, Bibliothèque royale de Belgique, 10774 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10004,Amiens (Organisation)
300031,"MsItem of Bibliothèque royale de Belgique, 10774 : Calendar",201,"Bruxelles, Bibliothèque royale de Belgique, 10774 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10004,Amiens (Organisation)
100047,"MsItem of Bibliothèque royale de Belgique, 10990 : Hours of the Virgin",203,"Bruxelles, Bibliothèque royale de Belgique, 10990 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10006,Angers (Organisation)
200034,"MsItem of Bibliothèque royale de Belgique, 10990 : Office of the dead",203,"Bruxelles, Bibliothèque royale de Belgique, 10990 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10006,Angers (Organisation)
300032,"MsItem of Bibliothèque royale de Belgique, 10990 : Calendar",203,"Bruxelles, Bibliothèque royale de Belgique, 10990 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10006,Angers (Organisation)
100048,"MsItem of Bibliothèque royale de Belgique, 11051 : Hours of the Virgin",205,"Bruxelles, Bibliothèque royale de Belgique, 11051 
 - GBR, London, Christie's",,,75966,Hours of the Virgin | L1 | Section,10189,Paris (Organisation)
200035,"MsItem of Bibliothèque royale de Belgique, 11051 : Office of the dead",205,"Bruxelles, Bibliothèque royale de Belgique, 11051 
 - GBR, London, Christie's",,,75965,Office of the dead | L1 | Section,10189,Paris (Organisation)
300033,"MsItem of Bibliothèque royale de Belgique, 11051 : Calendar",205,"Bruxelles, Bibliothèque royale de Belgique, 11051 
 - GBR, London, Christie's",,,75963,Calendar | L1 | Section,10189,Paris (Organisation)
100049,"MsItem of Bibliothèque royale de Belgique, 15080 : Hours of the Virgin",209,"Bruxelles, Bibliothèque royale de Belgique, 15080 
 - GBR, London, Major J. R. Abbey",,,75966,Hours of the Virgin | L1 | Section,10215,Roma (Organisation)
200036,"MsItem of Bibliothèque royale de Belgique, 15080 : Office of the dead",209,"Bruxelles, Bibliothèque royale de Belgique, 15080 
 - GBR, London, Major J. R. Abbey",,,75965,Office of the dead | L1 | Section,10250,Unknown (Organisation)
300034,"MsItem of Bibliothèque royale de Belgique, 15080 : Calendar",209,"Bruxelles, Bibliothèque royale de Belgique, 15080 
 - GBR, London, Major J. R. Abbey",,,75963,Calendar | L1 | Section,10141,"Mons, Sainte-Waudru O.S.A. (Organisation)"
100050,"MsItem of Bibliothèque royale de Belgique, 02890 (763) : Hours of the Virgin",213,"Bruxelles, Bibliothèque royale de Belgique, 02890 (763) 
 - GBR, London, Sam Fogg",,,75966,Hours of the Virgin | L1 | Section,10136,Metz (Organisation)
100051,"MsItem of Bibliothèque royale de Belgique, 02895 (720) : Hours of the Virgin",215,"Bruxelles, Bibliothèque royale de Belgique, 02895 (720) 
 - GBR, London, Sam Fogg",,,75966,Hours of the Virgin | L1 | Section,10041,"Bruxelles, Sainte-Gudule O.S.A. (Organisation)"
100052,"MsItem of Bibliothèque royale de Belgique, 02935 (715) : Hours of the Virgin",216,"Bruxelles, Bibliothèque royale de Belgique, 02935 (715) 
 - GBR, London, Sam Fogg",,,75966,Hours of the Virgin | L1 | Section,10017,Arras (Organisation)
100053,"MsItem of Bibliothèque royale de Belgique, 04483 (764) : Hours of the Virgin",217,"Bruxelles, Bibliothèque royale de Belgique, 04483 (764) 
 - GBR, London, Sam Fogg",,,75966,Hours of the Virgin | L1 | Section,10253,"Soignies, Saint-Vincent O.S.A. (Organisation)"
