"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","rowname.unlist","n"
"636",83,25,58,NA,93,18,65,NA,29,46,38,NA,"St. Vedast_ARRAS230M",1
"637",83,44,47,NA,1,58,79,NA,18,76,38,NA,"Bremen_CPHN31 Lübeck_CPHV3412",2
"638",83,57,79,NA,70,58,40,NA,44,47,18,NA,"Nivelles_BRU2810A",1
"639",83,82,58,NA,1,44,47,NA,79,18,38,NA,"Lund_LUND34D",1
"640",85,44,10,NA,47,1,76,NA,27,18,38,12,"St. Wandrille_OXF71A",1
"641",85,44,10,NA,47,1,76,NA,27,18,38,NA,"St. Wandrille_ROUEN225A",1
"642",85,44,10,NA,47,76,1,NA,27,18,12,NA,"St. Stephen's Caen_MTP314A",1
"643",85,44,10,NA,47,76,1,NA,27,18,38,NA,"Troarn_BN13242A",1
"644",85,44,10,NA,47,76,12,NA,1,27,38,NA,"St. Sauveur Evreux_EVREUX43",1
"645",85,44,47,NA,10,58,1,NA,79,18,38,NA,"Roskilde_CPHN45A",1
"646",85,44,47,NA,76,10,27,NA,83,18,38,NA,"Fulda_FULD136A",1
"647",85,58,70,NA,44,79,47,NA,18,10,38,NA,"St. Ulrich & Afra Augsburg_STUTT75",1
"648",85,58,70,NA,47,44,79,NA,1,18,38,NA,"St. Emmeram_BL10A",1
"649",85,70,58,NA,44,76,79,NA,1,18,38,NA,"_MUN26221",1
"650",85,76,83,NA,79,47,18,NA,44,10,1,NA,"Worms_BN1310A",1
"651",85,79,44,NA,47,10,76,NA,27,18,38,NA,"Fritzlar_KASS129",1
"652",85,79,76,NA,83,4,1,NA,47,27,38,NA,"Aquileia_GORZ(A)D",1
"653",85,79,76,NA,83,4,58,NA,47,27,38,NA,"Cividale_CIVD57",1
"654",85,83,44,NA,10,47,58,NA,1,79,18,NA,"Linköping_UPS461D",1
"655",85,83,44,NA,10,47,58,NA,1,79,38,NA,"Schleswig_VATPROPD",1
"656",85,83,44,NA,47,76,10,NA,1,27,18,NA,"Basle_PORRSN Eberhardsklausen_TREV439A Mainz_BN223A",3
"657",90,72,24,NA,32,57,28,NA,71,79,38,NA,"Montecassino_VAT211",1
"658",90,72,24,NA,46,32,57,NA,28,71,38,NA,"Sta Maria di Albaneta_CASS198",1
"659",90,72,24,NA,46,32,57,NA,28,71,40,NA,"Sta Sophia_VALL32",1
"660",90,79,8,NA,32,68,12,NA,57,46,38,NA,"Nevers_GEN998",1
"661",92,90,21,NA,14,32,79,NA,68,83,38,NA,"St. Cugat_BARCL73",1
"662",NA,44,76,NA,10,58,38,NA,83,18,12,NA,"St. Denis_BN17296",1
"663",NA,72,24,NA,32,57,40,NA,NA,NA,NA,NA,"Premonstratensian_DURH161",1
