"from","to","Weight"
"Hereford_HEREFDSN","_HAAG68","9"
"Hereford_HEREFDSN","St. Arnulf_METZ333","9"
"Hereford_HEREFDSN","Lisieux_CAEN17","9"
"Hereford_HEREFDSN","Coutances_S.1953-2","9"
"Hereford_HEREFDSN","The Hague_HAAG73B","9"
"Hereford_HEREFDSN","Hospitallers_BN1400","9"
"Hereford_HEREFDSN","Hours of Marie de Bohun_CPHT547","9"
"Hereford_HEREFDSN","Montieramey_BN1063","9"
"Hereford_HEREFDSN","Seez_BN1272","9"
"Hereford_HEREFDSN","St. Lo-de-Rouen_GEN1265","9"
"Hereford_HEREFDSN","St. Jacut-de-la-Mer_BN3081","9"
"Hereford_HEREFDSN","St. Sauveur Toul_BN17998","9"
"Hereford_HEREFDSN","St. Lo-de-Coutances_GEN2722","9"
"Hereford_HEREFDSN","Dol_OXF26","9"
"Hereford_HEREFDSN","Aversa_VAT12","9"
"Hereford_HEREFDSN","Vannes_GEN225","9"
"Hereford_HEREFDSN","Crowland_BL230","9"
"Hereford_HEREFDSN","Sarum_EDINB13","9"
"Hereford_HEREFDSN","Coutances_BN786D","9"
"Hereford_HEREFDSN","Lisieux_GEN113","9"
"Hereford_HEREFDSN","Rouen_ROUEN326","9"
"Hereford_HEREFDSN","_S.1935-5","9"
"Hereford_HEREFDSN","Brigittine (Syon)_OXF4","9"
"Hereford_HEREFDSN","Aberdeen_ABERDSN","9"
"Hereford_HEREFDSN","Rouen_BN10549","9"
"Hereford_HEREFDSN","St. Maur Verdun_EPIN235","9"
"Lincoln_BL38116","Metz_ARS570","9"
"Lincoln_BL38116","Sarum_BL305","9"
"Lincoln_BL38116","Templars_BN10478D","9"
"Lincoln_BL38116","Rennes_S.1893","9"
"Lincoln_BL38116","Oxford_VAT4757","9"
"Lincoln_BL38116","Rouen_BN4600","9"
"Lincoln_BL38116","_HAAG68","9"
"Lincoln_BL38116","St. Arnulf_METZ333","9"
"Lincoln_BL38116","Lisieux_CAEN17","9"
"Lincoln_BL38116","Coutances_S.1953-2","9"
"Lincoln_BL38116","The Hague_HAAG73B","9"
"Lincoln_BL38116","Hospitallers_BN1400","9"
"Lincoln_BL38116","Hours of Marie de Bohun_CPHT547","9"
"Lincoln_BL38116","Montieramey_BN1063","9"
"Lincoln_BL38116","Seez_BN1272","9"
"Lincoln_BL38116","St. Lo-de-Rouen_GEN1265","9"
"Lincoln_BL38116","St. Jacut-de-la-Mer_BN3081","9"
"Lincoln_BL38116","St. Sauveur Toul_BN17998","9"
"Lincoln_BL38116","St. Lo-de-Coutances_GEN2722","9"
"Lincoln_BL38116","Dol_OXF26","9"
"Lincoln_BL38116","Aversa_VAT12","9"
"Lincoln_BL38116","Vannes_GEN225","9"
"Lincoln_BL38116","Crowland_BL230","9"
"Lincoln_BL38116","Sarum_EDINB13","9"
"Lincoln_BL38116","Coutances_BN786D","9"
"Lincoln_BL38116","Lisieux_GEN113","9"
"Lincoln_BL38116","Rouen_ROUEN326","9"
"Lincoln_BL38116","_S.1935-5","9"
"Lincoln_BL38116","Brigittine (Syon)_OXF4","9"
"Lincoln_BL38116","Aberdeen_ABERDSN","9"
"Lincoln_BL38116","Rouen_BN10549","9"
"Lincoln_BL38116","St. Maur Verdun_EPIN235","9"
"Metz_ARS570","Sarum_BL305","9"
"Metz_ARS570","Templars_BN10478D","9"
"Metz_ARS570","Rennes_S.1893","9"
"Metz_ARS570","Oxford_VAT4757","9"
"Metz_ARS570","Rouen_BN4600","9"
"Metz_ARS570","_HAAG68","9"
"Metz_ARS570","St. Arnulf_METZ333","9"
"Metz_ARS570","Lisieux_CAEN17","9"
"Metz_ARS570","Coutances_S.1953-2","9"
"Metz_ARS570","The Hague_HAAG73B","9"
"Metz_ARS570","Hospitallers_BN1400","9"
"Metz_ARS570","Hours of Marie de Bohun_CPHT547","9"
"Metz_ARS570","Montieramey_BN1063","9"
"Metz_ARS570","Seez_BN1272","9"
"Metz_ARS570","St. Lo-de-Rouen_GEN1265","9"
"Metz_ARS570","St. Jacut-de-la-Mer_BN3081","9"
"Metz_ARS570","St. Sauveur Toul_BN17998","9"
"Metz_ARS570","St. Lo-de-Coutances_GEN2722","9"
"Metz_ARS570","Dol_OXF26","9"
"Metz_ARS570","Aversa_VAT12","9"
"Metz_ARS570","Vannes_GEN225","9"
"Metz_ARS570","Crowland_BL230","9"
"Metz_ARS570","Sarum_EDINB13","9"
