"from","to","Weight"
"Carthusian_CHARL182","Carthusian_CPHC768","9"
"Carthusian_CHARL182","Carthusian_BERL74","9"
"Carthusian_CHARL182","Carthusian_S.LON(12)","9"
"Carthusian_CHARL182","Carthusian_METZ466","9"
"Carthusian_CHARL182","Carthusian_WAG286","9"
"Carthusian_CHARL182","Carthusian_BN6250","9"
"Carthusian_CHARL182","Carthusian_AVIGN110","9"
"Carthusian_CHARL182","Carthusian_MCR414","9"
"Carthusian_CHARL182","Carthusian_BN1696","9"
"Carthusian_CHARL182","Carthusian_BN27975","9"
"Carthusian_CHARL182","Carthusian_VIE1309","9"
"Carthusian_TREV434","Carthusian_DIJON617","9"
"Carthusian_TREV434","Carthusian_MARS119","9"
"Carthusian_TREV434","Carthusian_METZ474","9"
"Carthusian_TREV434","Carthusian_METZ589","9"
"Carthusian_TREV434","Carthusian_ST.OM427","9"
"Carthusian_TREV434","Carthusian_VAT10296","9"
"Carthusian_TREV434","Carthusian_CPHC768","9"
"Carthusian_TREV434","Carthusian_BERL74","9"
"Carthusian_TREV434","Carthusian_S.LON(12)","9"
"Carthusian_TREV434","Carthusian_METZ466","9"
"Carthusian_TREV434","Carthusian_WAG286","9"
"Carthusian_TREV434","Carthusian_BN6250","9"
"Carthusian_TREV434","Carthusian_AVIGN110","9"
"Carthusian_TREV434","Carthusian_MCR414","9"
"Carthusian_TREV434","Carthusian_BN1696","9"
"Carthusian_TREV434","Carthusian_BN27975","9"
"Carthusian_TREV434","Carthusian_VIE1309","9"
"Carthusian_DIJON617","Carthusian_MARS119","9"
"Carthusian_DIJON617","Carthusian_METZ474","9"
"Carthusian_DIJON617","Carthusian_METZ589","9"
"Carthusian_DIJON617","Carthusian_ST.OM427","9"
"Carthusian_DIJON617","Carthusian_VAT10296","9"
"Carthusian_DIJON617","Carthusian_CPHC768","9"
"Carthusian_DIJON617","Carthusian_BERL74","9"
"Carthusian_DIJON617","Carthusian_S.LON(12)","9"
"Carthusian_DIJON617","Carthusian_METZ466","9"
"Carthusian_DIJON617","Carthusian_WAG286","9"
"Carthusian_DIJON617","Carthusian_BN6250","9"
