"Source","Target","Weight"
"Lyre_EVREUX121","Evesham_BL44874","7"
"Lyre_EVREUX121","Brooholm_OXF1523","7"
"Lyre_EVREUX121","Marchiennes_DOUAI68","7"
"Lyre_EVREUX121","Westminster_BL22","7"
"Lyre_EVREUX121","Fecamp_FEC186","7"
"Lyre_EVREUX121","Mont-Saint-Michel_AVRAN168","7"
"Lyre_EVREUX121","St. Pierre-le-Vif_BN1041","7"
"Lyre_EVREUX121","Norwich (Cathedral) OSB_BL3950","7"
"Lyre_EVREUX121","Evesham_OXF41","7"
"Lyre_EVREUX121","St. Faron_MEAUX4","7"
"Lyre_EVREUX121","St. Germain-des-Pres_BN13239","7"
"Lyre_EVREUX121","St. Vincent_LAON214","7"
"Lyre_EVREUX121","Soeiro_BRAGA657","7"
"Lyre_EVREUX121","_BERNE768","7"
"Lyre_EVREUX121","St. Serge_EBAMS10","7"
"Lyre_EVREUX121","St. Florent-les-Saumur_BRU5155","7"
"Lyre_EVREUX121","St. Julian_TOURS230","7"
"Lyre_EVREUX121","St. Ouen_BN19214","7"
"Lyre_EVREUX121","San Benito el Real_BLSN(3)","7"
"Lyre_EVREUX121","Vendome_VEND17","7"
"Lyre_EVREUX121","Montier-la-Celle_TROY109","7"
"Lyre_EVREUX121","St. Ouen_ROUEN192","7"
"Lyre_EVREUX121","St. Germain-des-Pres_BN12043","7"
"Lyre_EVREUX121","St. Maur-des-Fosses_BN12042","7"
"Lyre_EVREUX121","Cluny_BN27827","7"
"Lyre_EVREUX121","Arles-sur-Tech_NARB166","7"
"Lyre_EVREUX121","Sherborne_OXF12","7"
"Lyre_EVREUX121","Anchin_DOUAI159","7"
"Lyre_EVREUX121","St. Remy_GEN2613","7"
"Lyre_EVREUX121","Bourgueil_BN1071","7"
"Lyre_EVREUX121","Villeneuve-les-Avignon_AIX159","7"
"Lyre_EVREUX121","Northern Italy_VAT173","7"
"Lyre_EVREUX121","Silos_BL30850","7"
"Lyre_EVREUX121","Villeneuve-les-Avignon_BESAN137","7"
"Lyre_EVREUX121","Sainte-Foy of Conques_BOUV(1)","7"
"Lyre_EVREUX121","Todi_VAT530","7"
"Lyre_EVREUX121","St. Martial_MAZ11873","7"
"Lyre_EVREUX121","St. Aubin_BNSN(1)","7"
"Lyre_EVREUX121","Vendome_BN27910","7"
"Lyre_EVREUX121","St. Maximin Trier_TREV404","7"
"Lyre_EVREUX121","Lodi_BN1030","7"
"Lyre_EVREUX121","Le Mans_NYPML17","7"
