"","Work.RecordTitle","n"
"159","Deus, qui dedisti legem Moysi in summitate montis Sinai et in eodem loco per angelos tuos corpus bea | Corpus Orationum 1521 | | Oration | h323",1
"160","Deus, qui hodierna die corda fidelium sancti spiritus illustratione docuisti, da nobis in eodem spir | Corpus Orationum 1666 | | Oration | h324",12
"161","Deus, qui hodierna die verbum tuum beatae virginis alvo coadunare voluisti, fac nos ita peragere, ut | Corpus Orationum 1675 | | Oration | h1354",2
"162","Deus, qui per os beati apostoli tui Iohannis evangelistae Verbi tui nobis arcana reserasti, praesta, | Corpus Orationum 1981 | | Oration | h4466",2
"163","Deus, qui salutis aeternae beatae Mariae virginitate fecunda humano generi praemia praestitisti, tri | Corpus Orationum 2113b | | Oration | h331",15
"164","Deus, qui virginalem aulam beatae Mariae, in qua habitares, eligere dignatus es, da, quaesumus, ut, | Corpus Orationum 2167 | | Oration | h333",10
"165","Diffusa est gratia in labiis tuis | Cantus ID 006445 | Psalm 44:3 | Respond | h338",21
"166","Diffusa est gratia in labiis tuis | Cantus ID 006450c | Psalm 44:3 | Verse | h340",6
"167","Diffusa est gratia in labiis tuis | Cantus ID 008014 ; BU VersResp 251 | Psalm 44:3 | Versicle | h339",5
"168","Diffusa est gratia in labiis tuis propterea benedixit te deus in aeternum | Cantus ID 002216 | Psalm 44:3 | Antiphon | h341",1
"169","Diffusa est gratia in labiis tuis propterea benedixit te deus in aeternum | Cantus ID 006446 | Psalm 44:3 | Respond | h342",3
"170","Dignare me | HORAE | | Verse | h343",13
"171","Dignare me laudare te virgo sacra | Cantus ID 006447 | | Respond | h345",2
"172","Dignare me laudare te virgo sacrata | Cantus ID 008015 | | Versicle | h1311",2
"173","Dignare me laudare te virgo sacrata alleluia alleluia | Cantus ID 600574 | | Respond | h346",25
"174","Dignare me laudare te virgo sacrata da mihi virtutem contra hostes tuos | Cantus ID 002217 | | Antiphon | h347",40
"175","Dignum namque est ut ei cum summa devotione famulemur per quam nobis virginitatis insignia pullularu | Cantus ID 002220 | | Antiphon | h348",1
"176","Dilecte mi apprehendam te et ducam te in domum matris meae et in cubiculum genetricis meae ibi me do | Cantus ID 002224 | Song of songs 8:2 - 3:4 | Antiphon | h349|Maria virgo semper laetare quae meruisti Christum portare caeli et terrae conditorem quia de tuo ute | Cantus ID 003708 | | Antiphon | h738|Hortus conclusus es dei genetrix hortus conclusus es et fons signatus surge amica mea quam pulchra e | Cantus ID 003136 | | Antiphon | h599",1
"177","Dilectus meus loquitur | HORAE | Song of songs 2:10 | Short lesson | h350",3
"178","Dilectus meus ordinavit in me | HORAE | Song of songs 2:4 | Short lesson | h351",1
